#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9780732294106,"","Paulo Coelho; Margaret Jull Costa",01-01-2011,"HarperCollins Publishers Australia","Authors",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,292,"Sydney","PQ9698.13.O3546","869.3/42","186A58C5-C0B0-4DFE-8F0B-73E655883806","Aleph"
9780142437889,"","Jorge Luis Borges; Andrew Hurley",01-01-2004,"Penguin Books","Literary Collections / Caribbean & Latin American",0.000000,,"book",1,"","","Penguin Classics",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,210,"New York, N.Y., USA","PQ7797.B635","863/.62","D94FB37A-9559-4948-A9FD-AF278D6D1765","Aleph and Other Stories"
9780586073834,"","Ursula K. Le Guin; Todd Barton; Margaret Chodos-Irvine; George Hersh",01-01-1988,"Grafton","Fiction / Science Fiction / General",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,523,"","PS3562.E42","813/.54","AB55A3E5-C8BE-4610-BF27-5F6D703E18AF","Always Coming Home"
9781843549161,"","Neal Stephenson",01-01-2008,"Atlantic Books, Limited","Fiction / Thrillers / Suspense",0.000000,,"book",1,"","","",0.000000,"",5.260000,"","","","","","",08-14-2015,0,"","",0.000000,0,937,"London","","","60032492-F1AC-4AB5-B071-0D5A8EEFBBBF","Anathem"
9780006512646,"","Kim Stanley Robinson",01-01-1999,"HarperCollins","Fiction / Science Fiction / General",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,562,"London","PS3568.O2893","813.54","7FF5083A-5040-44EA-A3F8-380DBE509E62","Antarctica"
9780099780403,"","Greg Bear",01-01-1992,"Legend","Fiction / Science Fiction / Action & Adventure",0.000000,,"book",1,"","","",0.000000,"",8.420000,"","","","","","",08-22-2015,0,"","",0.000000,0,499,"London","","Fic","149FC1D3-A2A5-4BCA-AE06-29B517EC32B7","Anvil of Stars"
9780131489066,"An Introduction to Object-Oriented Analysis and Design and Iterative Development","Craig Larman",01-01-2005,"Prentice Hall PTR","Computers / Programming / Object Oriented",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,703,"Upper Saddle River, N.J.","QA76.9.O35","005.1/17","A60B0379-640C-4395-8248-C49D0CD5B297","Applying Uml and Patterns"
9780450497339,"","Jack Vance",01-01-1988,"New English Library","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,480,"","PS3572.A424","813/.54","1C76EE2F-1115-4E81-8114-C1E8534C7DA9","Araminta Station"
9780872597075,"","C. L Hutchinson",01-01-1999,"American Radio Relay League","",0.000000,,"",1,"","","Radio Amateur's Library ;",242.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,0,"Newington, Conn.","TK7871.6","621.3841/6","1F4926D7-F422-4B0B-8CF6-EDCDAFBD7638","Arrl's Wire Antenna Classics"
9780141315485,"","Eoin Colfer",01-01-2004,"Puffin","",0.000000,,"",1,"","","Artemis Fowl",3.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,329,"London","","823.914","3C6B7077-B55D-4560-86CB-140F76ADB9B4","Artemis Fowl"
